日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211130,極洋,1301,水産・農林業,0.01%,TOPIX Small 2,
20211130,日水,1332,水産・農林業,0.03%,TOPIX Mid400,
20211130,マルハニチロ,1333,水産・農林業,0.02%,TOPIX Mid400,
20211130,ホウスイ,1352,卸売業,0.00%,TOPIX Small 2,
20211130,雪国まいたけ,1375,水産・農林業,0.00%,TOPIX Small 1,
20211130,カネコ種苗,1376,水産・農林業,0.00%,TOPIX Small 2,○
20211130,サカタのタネ,1377,水産・農林業,0.02%,TOPIX Small 1,
20211130,ホクト,1379,水産・農林業,0.01%,TOPIX Small 1,
20211130,ホクリヨウ,1384,水産・農林業,0.00%,TOPIX Small 2,
20211130,ヒノキヤグループ,1413,建設業,0.00%,TOPIX Small 2,
20211130,ショーボンド,1414,建設業,0.04%,TOPIX Mid400,
20211130,ミライトＨＤ,1417,建設業,0.03%,TOPIX Mid400,
20211130,タマホーム,1419,建設業,0.01%,TOPIX Small 1,
20211130,サンヨーＨ,1420,建設業,0.00%,TOPIX Small 2,
20211130,日本アクア,1429,建設業,0.00%,TOPIX Small 2,
20211130,ファーストコーポ,1430,建設業,0.00%,TOPIX Small 2,
20211130,ベステラ,1433,建設業,0.00%,TOPIX Small 2,
20211130,Ｒｏｂｏｔ　Ｈｏｍｅ,1435,建設業,0.00%,TOPIX Small 2,
20211130,キャンディル,1446,建設業,0.00%,TOPIX Small 2,
20211130,スペースバリューＨＤ,1448,建設業,0.01%,TOPIX Small 2,
20211130,住石ＨＤ,1514,鉱業,0.00%,TOPIX Small 2,
20211130,日鉄鉱,1515,鉱業,0.01%,TOPIX Small 2,
20211130,三井松島ＨＤ,1518,鉱業,0.00%,TOPIX Small 2,
20211130,ＩＮＰＥＸ,1605,鉱業,0.19%,TOPIX Mid400,
20211130,石油資源,1662,鉱業,0.01%,TOPIX Small 1,
20211130,Ｋ＆Ｏエナジー,1663,鉱業,0.00%,TOPIX Small 2,
20211130,ダイセキＳ,1712,建設業,0.00%,TOPIX Small 2,
20211130,第一カッター,1716,建設業,0.00%,TOPIX Small 2,
20211130,明豊ファシリティ,1717,サービス業,0.00%,TOPIX Small 2,
20211130,安藤ハザマ,1719,建設業,0.02%,TOPIX Small 1,
20211130,東急建設,1720,建設業,0.01%,TOPIX Small 1,
20211130,コムシスＨＤ,1721,建設業,0.04%,TOPIX Mid400,
20211130,Ｂｒ．ＨＤ,1726,建設業,0.00%,TOPIX Small 2,
20211130,高松Ｇ,1762,建設業,0.01%,TOPIX Small 2,
20211130,東建コーポ,1766,建設業,0.01%,TOPIX Small 1,
20211130,ソネック,1768,建設業,0.00%,TOPIX Small 2,○
