"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","33003","10928283","2.65","80","9.28","0.77","325.35","3910.65","302000","100","20210322","3305","20210709","2850"
"1332","日本水産","東証一部","水産・農林","166213","312430277","2.07","11","9.74","0.9","54.63","590.15","53200","100","20211014","689","20210104","416"
"1333","マルハニチロ","東証一部","水産・農林","124534","52656910","1.69","40","8.89","0.81","266.05","2920.12","236500","100","20210309","2795","20210106","2173"
"1352","ホウスイ","東証一部","卸売","6837","8379000","2.45","20","9.76","0.93","83.6","875.11","81600","100","20210726","1033","20211216","808"
"1375","雪国まいたけ","東証一部","水産・農林","46296","39910700","3.62","42","10.11","4.8","114.78","241.44","116000","100","20210329","2029","20211220","1159"
"1376","カネコ種苗","東証一部","水産・農林","17011","11772626","2.01","29","15.33","0.78","94.29","1863.92","144500","100","20210406","1695","20211203","1321"
"1377","サカタのタネ","東証一部","水産・農林","155033","47410750","1.16","38","16.56","1.28","197.51","2550.27","327000","100","20210329","4145","20211129","3110"
"1379","ホクト","東証一部","水産・農林","62949","33359040","3.18","60","18.01","1.15","104.76","1641.95","188700","100","20210127","2203","20211130","1842"
"1380","秋川牧園","JQS","水産・農林","4434","4179000","0.94","10","34.03","2.23","31.18","474.98","106100","100","20210205","1288","20210831","1021"
"1381","アクシーズ","JQS","水産・農林","17751","5617500","3.01","95","8.66","1.02","365.04","3107.45","316000","100","20210121","3585","20210709","3000"
"1382","ホーブ","JQS","水産・農林","723","762000","0","0","6.51","1.24","145.72","767.56","94900","100","20210507","1066","20210128","890"
"1383","ベルグアース","JQS","水産・農林","3828","1446900","0.38","10","-","3.31","-","799.6","264600","100","20210413","2874","20210104","2184"
"1384","ホクリヨウ","東証一部","水産・農林","5761","8459000","2.2","15","6.82","0.58","99.89","1170.48","68100","100","20210705","845","20210304","666"
"1400","ルーデン・ホールディングス","JQG","建設","2563","13008600","0","0","42.83","0.97","4.6","202.96","19700","100","20210212","430","20211220","196"
"1401","エムビーエス","東証マザ","建設","3719","7732000","-","-","-","1.38","-","349.76","48100","100","20210107","849","20211202","475"
"1407","ウエストホールディングス","JQS","建設","257754","46027488","0.98","55","31.92","8.99","175.42","622.66","560000","100","20211119","6940","20210225","2771"
"1413","ヒノキヤグループ","東証一部","建設","29919","13575000","4.54","100","8.03","1.31","274.64","1686.11","220400","100","20210419","2742","20210118","1991"
"1414","ショーボンドホールディングス","東証一部","建設","291103","56745180","2.11","108","24","3.07","213.73","1669.42","513000","100","20211216","5360","20210120","4500"
"1417","ミライト・ホールディングス","東証一部","建設","205168","108325329","2.9","55","8.49","0.82","223.19","2297.5","189400","100","20210914","2403","20210129","1657"
"1418","インターライフホールディングス","JQS","建設","3222","20010529","2.48","4","31.14","0.82","5.17","195.93","16100","100","20210113","310","20211220","161"
"1419","タマホーム","東証一部","建設","65038","29455800","4.98","110","8.91","2.59","247.83","850.9","220800","100","20210719","3245","20210105","1448"
"1420","サンヨーホームズ","東証一部","建設","9175","12620000","3.44","25","26.79","0.54","27.14","1349.59","72700","100","20210205","891","20210521","704"
"1429","日本アクア","東証一部","建設","23324","34760000","2.98","20","22.92","2.87","29.28","233.67","67100","100","20211208","767","20210528","512"
"1430","ファーストコーポレーション","東証一部","建設","9314","13363540","4.3","30","7.11","1.35","98.09","517.94","69700","100","20210419","843","20211202","665"
"1431","Lib_Work","東証マザ","建設","19845","23292040","0.66","5.6","35.31","6.28","24.13","135.67","85200","100","20210107","1115","20210518","803"
"1433","ベステラ","東証一部","建設","10724","8718400","1.3","16","7.57","2.26","162.59","543.34","123000","100","20210120","2020","20211220","1230"
"1434","JESCOホールディングス","東証二部","建設","3182","6657000","3.14","15","6.35","0.84","75.25","570.33","47800","100","20210402","677","20211129","460"
"1435","Robot_Home","東証一部","建設","19410","91127000","0","0","69.16","2.61","3.08","81.6","21300","100","20210603","314","20210513","164"
"1436","フィット","東証マザ","建設","4086","4283000","1.05","10","13.32","0.88","71.61","1088.64","95400","100","20210105","1814","20210902","828"
"1438","岐阜造園","名証二部","建設","3460","3203600","1.85","20","12.77","1.13","84.6","955.2","108000","100","20210811","1129","20210104","718"
"1439","安江工務店","JQS","建設","1309","1322500","2.53","25","17.75","0.92","55.76","1076.58","99000","100","20210426","1373","20210107","945"
"1443","技研ホールディングス","東証二部","建設","3183","16237977","0.51","1","7.07","0.33","27.72","587.71","19600","100","20210215","342","20211202","196"
"1444","ニッソウ","名証セント","建設","1856","929000","0","0","16.28","1.8","122.76","1106.96","199800","100","20210726","2652","20211213","1921"
"1446","キャンディル","東証一部","建設","5298","10724200","1.21","6","73.62","1.62","6.71","304.07","49400","100","20210906","648","20211129","482"
"1447","ITbookホールディングス","東証マザ","建設","8178","21577001","-","-","52.2","3.81","7.26","99.4","37900","100","20210128","593","20210517","356"
"1448","スペースバリューホールディングス","東証一部","建設","40819","35556584","0","0","28.84","1.6","39.8","718.52","114800","100","20211208","1150","20210201","663"
"1449","FUJIジャパン","札証","建設","790","2130000","1.35","5","18.38","2.13","20.19","174.18","37100","100","20210426","630","20210104","350"
"1450","田中建設工業","JQS","建設","8982","4349800","3.29","68","10.37","1.84","199.1","1121.74","206500","100","20210329","2780","20211209","1993"
"1451","KHC","東証二部","建設","2423","3965350","5.4","33","6.89","0.42","88.62","1448.76","61100","100","20210802","690","20210104","521"
"1491","中外鉱業","東証二部","非鉄金属","8982","289747982","0","0","31.96","1.33","0.97","23.23","3100","100","20210210","45","20210427","29"
"1514","住石ホールディングス","東証一部","鉱業","7597","58892853","2.33","3","4.72","0.46","27.34","279.74","12900","100","20211006","176","20210201","109"
"1515","日鉄鉱業","東証一部","鉱業","50949","8352319","4.43","270","6.77","0.43","901.58","14057.86","610000","100","20210510","7480","20210203","5260"
"1518","三井松島ホールディングス","東証一部","鉱業","19179","13064400","4.09","60","4.77","0.6","307.5","2451.82","146800","100","20211018","1785","20210104","700"
"1605","INPEX","東証一部","鉱業","1419916","1462323600","4.12","40","7.66","0.47","126.69","2073.78","97100","100","20211217","1026","20210104","539"
"1662","石油資源開発","東証一部","鉱業","142373","57154776","2.01","50","-","0.49","-1223.77","5095.92","249100","100","20211210","2618","20210729","1714"
"1663","K＆Oエナジーグループ","東証一部","鉱業","41087","28336061","2.07","30","14.81","0.49","97.89","2937.73","145000","100","20211018","1706","20210812","1292"
"1711","SDSホールディングス","東証二部","建設","2420","5917473","-","-","-","46.53","-","8.79","40900","100","20210426","635","20211025","305"
"1712","ダイセキ環境ソリューション","東証一部","建設","25392","16827120","0.53","8","19.84","1.83","76.05","826.17","150900","100","20211007","2040","20210105","678"
"1716","第一カッター興業","東証一部","建設","15708","12000000","2.06","27","10.57","1.08","123.87","1216.07","130900","100","20210412","1600","20211019","1207"
"1717","明豊ファシリティワークス","東証一部","サービス","9940","12775900","3.6","28","13.91","2.27","55.92","342.66","77800","100","20210727","1015","20210219","615"
"1718","美樹工業","JQS","建設","4815","1153263","3.83","160","7.02","0.33","594.59","12663.95","417500","100","20210930","4285","20210113","3660"
